Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,47.498,-73.406,180.0,top
C103,100n,C_0402_1005Metric,5.636696,-53.975,0.0,top
C13,100n,C_0402_1005Metric,61.75,-53.975,0.0,top
C2,100n,C_0402_1005Metric,29.845,-71.882,-90.0,top
C22,100n,C_0402_1005Metric,75.260696,-53.975,0.0,top
C3,100n,C_0402_1005Metric,69.825,-71.001,90.0,top
C31,100n,C_0402_1005Metric,47.498,-53.975,0.0,top
C4,100n,C_0402_1005Metric,81.449696,-27.934,180.0,top
C40,100n,C_0402_1005Metric,68.298,-27.934,0.0,top
C49,100n,C_0402_1005Metric,54.074,-27.934,0.0,top
C58,100n,C_0402_1005Metric,40.434696,-28.067,0.0,top
C67,100n,C_0402_1005Metric,33.881,-53.975,0.0,top
C76,100n,C_0402_1005Metric,26.464696,-28.067,0.0,top
C85,100n,C_0402_1005Metric,19.860696,-53.975,0.0,top
C94,100n,C_0402_1005Metric,12.240696,-28.067,0.0,top
H1,MountingHole,MountingHole_3.2mm_M3,34.0,-70.0,90.0,top
H2,MountingHole,MountingHole_3.2mm_M3,53.0,-70.0,90.0,top
J1,Conn_01x09_Pin,JST_PH_B9B-PH-SM4-TB_1x09-1MP_P2.00mm_Vertical,81.0,-70.0,-90.0,top
J2,Conn_01x09_Pin,JST_PH_B9B-PH-SM4-TB_1x09-1MP_P2.00mm_Vertical,6.0,-70.0,90.0,top
J3,~,RJ45-TH_RJ45-TH_HC-RJ45-059D-2X6-2-04,43.5,-11.997,180.0,top
R1,120,R_0402_1005Metric,48.006,-62.703,90.0,top
R10,120,R_0402_1005Metric,27.178,-62.449,90.0,top
R100,10k,R_0402_1005Metric,27.734696,-51.181,90.0,top
R101,10k,R_0402_1005Metric,17.701696,-51.181,90.0,top
R102,10k,R_0402_1005Metric,17.701696,-48.895,90.0,top
R103,10k,R_0402_1005Metric,17.701696,-46.607,-90.0,top
R104,10k,R_0402_1005Metric,17.701696,-44.323,-90.0,top
R105,10k,R_0402_1005Metric,3.477696,-37.332,90.0,top
R106,10k,R_0402_1005Metric,3.477696,-35.046,90.0,top
R107,10k,R_0402_1005Metric,3.477696,-32.76,-90.0,top
R108,10k,R_0402_1005Metric,3.477696,-30.474,-90.0,top
R109,10k,R_0402_1005Metric,13.510696,-30.48,-90.0,top
R11,120,R_0402_1005Metric,25.908,-62.449,90.0,top
R110,10k,R_0402_1005Metric,13.510696,-32.766,-90.0,top
R111,10k,R_0402_1005Metric,13.510696,-35.046,90.0,top
R112,10k,R_0402_1005Metric,13.510696,-37.332,90.0,top
R113,10k,R_0402_1005Metric,13.510696,-44.323,-90.0,top
R114,10k,R_0402_1005Metric,13.510696,-46.607,-90.0,top
R115,10k,R_0402_1005Metric,13.510696,-48.895,90.0,top
R116,10k,R_0402_1005Metric,13.510696,-51.181,90.0,top
R117,10k,R_0402_1005Metric,3.477696,-51.181,90.0,top
R118,10k,R_0402_1005Metric,3.477696,-48.895,90.0,top
R119,10k,R_0402_1005Metric,3.477696,-46.607,-90.0,top
R12,120,R_0402_1005Metric,24.638,-62.449,90.0,top
R120,10k,R_0402_1005Metric,3.477696,-44.323,-90.0,top
R121,0,R_0402_1005Metric,84.074,-30.48,-90.0,top
R122,0,R_0402_1005Metric,70.739,-30.48,-90.0,top
R123,0,R_0402_1005Metric,75.311,-55.626,180.0,top
R124,0,R_0402_1005Metric,64.389,-53.975,180.0,top
R125,0,R_0402_1005Metric,56.515,-30.48,-90.0,top
R126,0,R_0402_1005Metric,50.165,-53.975,180.0,top
R127,0,R_0402_1005Metric,42.799,-30.48,-90.0,top
R128,0,R_0402_1005Metric,36.449,-53.975,180.0,top
R129,0,R_0402_1005Metric,28.829,-30.48,-90.0,top
R13,120,R_0402_1005Metric,23.368,-62.449,90.0,top
R130,0,R_0402_1005Metric,22.479,-53.975,180.0,top
R131,0,R_0402_1005Metric,14.605,-30.48,-90.0,top
R132,0,R_0402_1005Metric,8.253,-53.975,180.0,top
